participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate,blinkrate_rel,fixationrate_rel,mean_pupil_diameter_rel,median_pupil_diameter_rel,blinkrate_var,blinkrate_std,fixationrate_var,fixationrate_std,mean_pupil_diameter_var,mean_pupil_diameter_std,median_pupil_diameter_var,median_pupil_diameter_std
1,1,33.643950000000586,10,5,15,25,25,10,15.0,43.8555340129,43.89397621154785,0.0594460519647652,0.2959462510705301,0.0,0.0,0.0,0.0,0.010298407397202848,0.10148106915677843,0.003606086314832452,0.06005069787131913,2.039596593492945,1.4281444582019514,2.0363067707754583,1.4269922111824782
1,2,28.484322000000247,50,30,25,50,15,25,32.5,42.93553776016144,43.021598815918,0.0,0.175533298245399,-0.0594460519647652,-0.12041295282513106,-0.9199962527385637,-0.8723773956298544,0.010298407397202848,0.10148106915677843,0.003606086314832452,0.06005069787131913,2.039596593492945,1.4281444582019514,2.0363067707754583,1.4269922111824782
1,3,71.42382300000008,100,10,75,80,90,20,62.5,44.70445936756607,44.79162979,0.1960130305542449,0.1960183849563621,0.1365669785894797,-0.09992786611416798,0.848925354666072,0.8976535784521502,0.010298407397202848,0.10148106915677843,0.003606086314832452,0.06005069787131913,2.039596593492945,1.4281444582019514,2.0363067707754583,1.4269922111824782
1,4,38.16344200000003,60,15,45,50,20,25,35.8,45.76215639489129,45.8454704284668,0.052406174474514,0.288262571772794,-0.007039877490251201,-0.007683679297736057,1.9066223819912906,1.9514942169189453,0.010298407397202848,0.10148106915677843,0.003606086314832452,0.06005069787131913,2.039596593492945,1.4281444582019514,2.0363067707754583,1.4269922111824782
2,1,41.74804700000095,20,10,20,10,20,15,15.8,31.49239306049311,31.3931007385254,0.0,0.1437265671049483,0.0,0.0,0.0,0.0,0.010956305756258137,0.10467237341466056,0.002056864363246915,0.04535266655056696,0.7457559181117268,0.8635716056655214,0.9154096525356016,0.9567704283346145
2,2,29.480232000001703,50,10,60,30,30,25,34.2,33.24833941920432,33.119140625,0.0,0.3052799438285005,0.0,0.1615533767235522,1.7559463587112099,1.7260398864745987,0.010956305756258137,0.10467237341466056,0.002056864363246915,0.04535266655056696,0.7457559181117268,0.8635716056655214,0.9154096525356016,0.9567704283346145
2,3,42.02767599999788,50,10,20,25,50,20,29.2,34.22961421845484,34.1431655883789,0.1427630687930568,0.2147714531654563,0.1427630687930568,0.07104488606050799,2.7372211579617307,2.750064849853498,0.010956305756258137,0.10467237341466056,0.002056864363246915,0.04535266655056696,0.7457559181117268,0.8635716056655214,0.9154096525356016,0.9567704283346145
2,4,49.023875999992015,85,10,90,90,80,85,73.3,34.96986778906296,35.0310668945312,0.2039822391848745,0.2651980217819225,0.2039822391848745,0.12147145467697418,3.477474728569849,3.637966156005799,0.010956305756258137,0.10467237341466056,0.002056864363246915,0.04535266655056696,0.7457559181117268,0.8635716056655214,0.9154096525356016,0.9567704283346145
3,1,42.35030099999858,5,5,5,0,5,5,4.2,31.121870152082177,30.6852992222407,0.1416754983630506,0.259758034918188,0.0,0.0,0.0,0.0,0.003619111626272706,0.060159052737495014,0.001213909318044722,0.034841201443760836,1.418263735475557,1.1909087855396638,1.8203346823522486,1.3491977921536369
3,2,45.0635059999986,15,10,10,0,15,5,9.2,31.42622480882639,31.3076288292728,0.0887636217208693,0.2884802374006207,-0.052911876642181305,0.02872220248243268,0.3043546567442128,0.6223296070320998,0.003619111626272706,0.060159052737495014,0.001213909318044722,0.034841201443760836,1.418263735475557,1.1909087855396638,1.8203346823522486,1.3491977921536369
3,3,86.71307800000068,80,15,55,45,50,25,45.0,33.56710174771341,33.823488601516445,0.2075811447957118,0.2306421908328015,0.0659056464326612,-0.029115844085386505,2.445231595631231,3.138189379275744,0.003619111626272706,0.060159052737495014,0.001213909318044722,0.034841201443760836,1.418263735475557,1.1909087855396638,1.8203346823522486,1.3491977921536369
3,4,53.12401900000259,55,10,15,15,30,10,22.5,33.40069627315061,33.4104499816895,0.1317671390788347,0.2259041460470136,-0.009908359284215906,-0.03385388887117441,2.2788261210684304,2.725150759448802,0.003619111626272706,0.060159052737495014,0.001213909318044722,0.034841201443760836,1.418263735475557,1.1909087855396638,1.8203346823522486,1.3491977921536369
4,1,18.114320000007865,35,45,55,40,45,15,39.2,30.32579458995717,30.4229469299316,0.0552049428297372,0.2207667621509662,0.0,0.0,0.0,0.0,0.08055932395245924,0.28382974465770716,0.0040491022056550734,0.06363255617728297,1.7201632919815126,1.3115499578672223,1.9242071684360398,1.3871579464632136
4,2,23.99121800001012,60,45,80,50,45,20,50.0,28.83615222104014,28.84672927856445,0.0416819187754276,0.3333688787900409,-0.0135230240543096,0.11260211663907471,-1.4896423689170284,-1.576217651367152,0.08055932395245924,0.28382974465770716,0.0040491022056550734,0.06363255617728297,1.7201632919815126,1.3115499578672223,1.9242071684360398,1.3871579464632136
4,3,43.53845100000035,70,80,70,70,70,50,68.3,30.83950587142833,30.8943195343018,0.4363958653466989,0.2066833163091648,0.3811909225169617,-0.014083445841801379,0.51371128147116,0.4713726043701989,0.08055932395245924,0.28382974465770716,0.0040491022056550734,0.06363255617728297,1.7201632919815126,1.3115499578672223,1.9242071684360398,1.3871579464632136
4,4,32.0756379999948,75,70,80,60,80,40,67.5,31.304260254832776,31.4916820526123,0.5923498700167112,0.2805324199862717,0.537144927186974,0.05976565783530552,0.9784656648756069,1.0687351226806996,0.08055932395245924,0.28382974465770716,0.0040491022056550734,0.06363255617728297,1.7201632919815126,1.3115499578672223,1.9242071684360398,1.3871579464632136
5,1,40.52363899999182,15,15,5,50,50,5,23.3,31.5698077004842,31.5385084152222,0.0,0.3455142830792471,0.0,0.0,0.0,0.0,0.11935826532451496,0.34548265560591457,0.001949967075327756,0.04415843153156321,2.41772445726173,1.5549033594605584,2.2227797346362297,1.4908989686213583
5,2,38.68948199998704,10,5,5,50,10,5,14.2,34.04321701492947,34.13107872009275,0.0258468180059979,0.3618278306623405,0.0258468180059979,0.01631354758309339,2.4734093144452665,2.592570304870552,0.11935826532451496,0.34548265560591457,0.001949967075327756,0.04415843153156321,2.41772445726173,1.5549033594605584,2.2227797346362297,1.4908989686213583
5,3,50.13375700000324,85,5,50,70,65,10,47.5,35.78875366230561,35.8096961975098,0.2792529592386043,0.2991572113127846,0.2792529592386043,-0.046357071766462477,4.218945961821408,4.271187782287601,0.11935826532451496,0.34548265560591457,0.001949967075327756,0.04415843153156321,2.41772445726173,1.5549033594605584,2.2227797346362297,1.4908989686213583
5,4,140.9942260000098,90,95,70,85,85,75,83.3,37.14488635285871,37.1046371459961,0.7092489021500288,0.2766019250663763,0.7092489021500288,-0.06891235801287077,5.575078652374511,5.566128730773901,0.11935826532451496,0.34548265560591457,0.001949967075327756,0.04415843153156321,2.41772445726173,1.5549033594605584,2.2227797346362297,1.4908989686213583
6,1,42.70937100000447,30,30,30,25,30,5,25.0,30.08731524094413,29.9929313659668,0.0702421957935106,0.234100949175288,0.0,0.0,0.0,0.0,0.02943991350087236,0.17158063265086873,0.0019307133614523677,0.043939883493841536,0.07776959286185633,0.27887200085676644,0.18851833953431427,0.43418698683207246
6,2,25.83564699999988,60,45,45,30,60,5,40.8,30.447085052261787,30.3293704986572,0.0774124216823371,0.193559699724503,0.007170225888826501,-0.04054124945078502,0.3597698113176584,0.33643913269040127,0.02943991350087236,0.17158063265086873,0.0019307133614523677,0.043939883493841536,0.07776959286185633,0.27887200085676644,0.18851833953431427,0.43418698683207246
6,3,94.06873500000802,70,70,70,60,60,15,57.5,30.96680021660619,31.0906133651733,0.350807311270819,0.1483519774857665,0.2805651154773084,-0.0857489716895215,0.8794849756620629,1.0976819992065003,0.02943991350087236,0.17158063265086873,0.0019307133614523677,0.043939883493841536,0.07776959286185633,0.27887200085676644,0.18851833953431427,0.43418698683207246
